run,DMC_Method,Nmcmc_1e4,band_max,band_min,calc_mode,maxOrder,n_meas,prefix,sign_im,sign_re,temper_first_line
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/off_runs/s0_baseline_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/off_runs/s0_candidate_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/off_runs/s0_candidate_shadow,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/off_runs/s1_baseline_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/off_runs/s1_candidate_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/off_runs/s1_candidate_shadow,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v1/off_runs/s0_baseline_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v1/off_runs/s0_candidate_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v1/off_runs/s0_candidate_shadow,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v1/off_runs/s1_baseline_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v1/off_runs/s1_candidate_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v1/off_runs/s1_candidate_shadow,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v2/off_runs/s0_baseline_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v2/off_runs/s0_candidate_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v2/off_runs/s0_candidate_shadow,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v2/off_runs/s1_baseline_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v2/off_runs/s1_candidate_off,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C0/repair_v2/off_runs/s1_candidate_shadow,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s0_coarse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9349333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s0_detail,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9349333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s0_detail_sparse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9349333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s0_off,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9349333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s1_coarse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9482666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s1_detail,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9482666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s1_detail_sparse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9482666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s1_off,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9482666666666667,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s2_coarse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9493333333333334,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s2_detail,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9493333333333334,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s2_detail_sparse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9493333333333334,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s2_off,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9493333333333334,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s3_coarse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9629333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s3_detail,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9629333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s3_detail_sparse,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9629333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C1/runs/s3_off,0,100,1,1,diagmc-EZ,500,7500,lif-sp3,0.0,0.9629333333333333,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C2/runs/c2_a1_force,0,1,1,1,diagmc-EZ,500,75,lif-sp3,0.0,1.0,1 T
research/mainline/CLOSURE/2026-09-14/runs/night1/C2/runs/c2_p1_on,0,10,1,1,diagmc-EZ,500,750,lif-sp3,0.0,0.992,1 T
