case,r1_result,naive_generated_result,dag_result,max_error_including_Op,status
HT_n3_b2/DEV/base,(0.00040932218041703244+0j),(0.00040932218041703244+0j),(0.00040932218041703244+0j),2.710505431213761e-20,PASS
HT_n3_b2/DEV/change_k,(0.0009102124942993132+0j),(0.0009102124942993129+0j),(0.0009102124942993129+0j),2.168404344971009e-19,PASS
HT_n3_b2/DEV/change_q,(0.0007398536730820215+0j),(0.0007398536730820214+0j),(0.0007398536730820214+0j),1.0842021724855044e-19,PASS
HT_n3_b2/DEV/change_tau,(0.00030090088138308245+0j),(0.00030090088138308245+0j),(0.00030090088138308245+0j),4.235164736271502e-22,PASS
HT_n3_b2/DEV/change_t,(0.0003309070844467333+0j),(0.0003309070844467333+0j),(0.0003309070844467333+0j),2.710505431213761e-20,PASS
HT_n3_b2/DEV/change_omega,(0.0004821804650131172+0j),(0.0004821804650131171+0j),(0.0004821804650131171+0j),1.0842021724855044e-19,PASS
HT_n3_b2/DEV/change_g,(3.593500623688628e-05+0j),(3.593500623688628e-05+0j),(3.593500623688628e-05+0j),1.6940658945086007e-21,PASS
HT_n3_b2/DEV/g_zero,0j,0j,0j,0.0,PASS
HT_n3_b2/DEV/joint_parameters,(0.0033219446703468243+0j),(0.0033219446703468235+0j),(0.0033219446703468235+0j),8.673617379884035e-19,PASS
HT_n3_b2/DEV/joint_sample,(0.00036408216365036214+0j),(0.00036408216365036225+0j),(0.00036408216365036225+0j),1.0842021724855044e-19,PASS
HT_n3_b2/DEV/repeat_q_then_separate,(0.0003546414694451233+0j),(0.00035464146944512323+0j),(0.00035464146944512323+0j),5.421010862427522e-20,PASS
HT_n3_b2/DEV/repeat_dtau_then_separate,(0.0002883843878331988+0j),(0.0002883843878331988+0j),(0.0002883843878331988+0j),1.3552527156068805e-20,PASS
HT_n3_b2/DEV/change_L_analytic,(8.14163170570398e-05+0j),(8.141631705703978e-05+0j),(8.141631705703978e-05+0j),1.3552527156068805e-20,PASS
HT_n3_b2/DEV/small_nonzero_g,(4.929356136747086e-50+0j),(4.929356136747085e-50+0j),(4.929356136747085e-50+0j),9.495567745759799e-66,PASS
HT_n3_b2/DEV/longer_legal_intervals,(5.454462316621264e-05+0j),(5.4544623166212654e-05+0j),(5.4544623166212654e-05+0j),2.0328790734103208e-20,PASS
HT_n3_b2/DEV/same_input_repeat,(0.00040932218041703244+0j),(0.00040932218041703244+0j),(0.00040932218041703244+0j),2.710505431213761e-20,PASS
HT_n3_b2/RESERVED_CONFIRMATION/base,(0.0007830306400876019+0j),(0.0007830306400876019+0j),(0.0007830306400876019+0j),5.421010862427522e-20,PASS
HT_n3_b2/RESERVED_CONFIRMATION/change_k,(0.000339452350583895+0j),(0.00033945235058389505+0j),(0.00033945235058389505+0j),5.421010862427522e-20,PASS
HT_n3_b2/RESERVED_CONFIRMATION/change_q,(0.0009394992615027727+0j),(0.0009394992615027729+0j),(0.0009394992615027729+0j),2.168404344971009e-19,PASS
HT_n3_b2/RESERVED_CONFIRMATION/change_tau,(0.0005979946979025592+0j),(0.000597994697902559+0j),(0.000597994697902559+0j),2.168404344971009e-19,PASS
HT_n3_b2/RESERVED_CONFIRMATION/change_t,(0.0006946471373576199+0j),(0.0006946471373576198+0j),(0.0006946471373576198+0j),1.0842021724855044e-19,PASS
HT_n3_b2/RESERVED_CONFIRMATION/change_omega,(0.0009220860646722104+0j),(0.0009220860646722104+0j),(0.0009220860646722104+0j),1.0842021724855044e-19,PASS
HT_n3_b2/RESERVED_CONFIRMATION/change_g,(6.87434306798444e-05+0j),(6.874343067984438e-05+0j),(6.874343067984438e-05+0j),1.3552527156068805e-20,PASS
HT_n3_b2/RESERVED_CONFIRMATION/g_zero,0j,0j,0j,0.0,PASS
HT_n3_b2/RESERVED_CONFIRMATION/joint_parameters,(0.00742324286447455+0j),(0.007423242864474549+0j),(0.007423242864474549+0j),8.673617379884035e-19,PASS
HT_n3_b2/RESERVED_CONFIRMATION/joint_sample,(0.0002596161538042621+0j),(0.0002596161538042622+0j),(0.0002596161538042622+0j),1.0842021724855044e-19,PASS
HT_n3_b2/RESERVED_CONFIRMATION/repeat_q_then_separate,(0.0004285439342789798+0j),(0.0004285439342789797+0j),(0.0004285439342789797+0j),1.0842021724855044e-19,PASS
HT_n3_b2/RESERVED_CONFIRMATION/repeat_dtau_then_separate,(0.0005260737076381848+0j),(0.000526073707638185+0j),(0.000526073707638185+0j),2.168404344971009e-19,PASS
HT_n3_b2/RESERVED_CONFIRMATION/change_L_analytic,(4.53685074501383e-05+0j),(4.536850745013831e-05+0j),(4.536850745013831e-05+0j),6.776263578034403e-21,PASS
HT_n3_b2/RESERVED_CONFIRMATION/small_nonzero_g,(9.429825882008826e-50+0j),(9.429825882008828e-50+0j),(9.429825882008828e-50+0j),1.8991135491519597e-65,PASS
HT_n3_b2/RESERVED_CONFIRMATION/longer_legal_intervals,(0.000167662877518454+0j),(0.00016766287751845407+0j),(0.00016766287751845407+0j),8.131516293641283e-20,PASS
HT_n3_b2/RESERVED_CONFIRMATION/same_input_repeat,(0.0007830306400876019+0j),(0.0007830306400876019+0j),(0.0007830306400876019+0j),5.421010862427522e-20,PASS
